start,meterId,duration
2019-05-29T22:00:00.000Z,CIR0141600524,652
2019-05-31T00:00:00.000Z,ZIV0046091087,651
2019-05-31T00:00:00.000Z,CIR0141602344,651
2019-06-11T03:00:00.000Z,CIR0141448511,639
2019-05-31T00:00:00.000Z,CIR0141606068,651
2019-05-30T22:00:00.000Z,CIR0141442825,651
2019-05-31T00:00:00.000Z,CIR0141691045,650
2019-05-29T22:00:00.000Z,CIR0141601156,651
2019-05-29T22:00:00.000Z,ZIV0045681758,652
2019-05-31T00:00:00.000Z,CIR0141456091,651
2019-06-11T03:00:00.000Z,CIR0141448469,639
2019-05-31T00:00:00.000Z,CIR0141606110,650
2019-05-31T00:00:00.000Z,ZIV0046091866,651
2019-05-31T00:00:00.000Z,ZIV0046092295,651
2019-05-31T00:00:00.000Z,CIR0141602501,651
2019-05-30T22:00:00.000Z,CIR0141448354,651
2019-05-31T00:00:00.000Z,CIR0141691778,651
2019-05-31T00:00:00.000Z,CIR0141690272,651
2019-05-29T22:00:00.000Z,CIR0501631455,652
2019-05-31T00:00:00.000Z,ZIV0046094805,651
2019-05-31T00:00:00.000Z,CIR0141602479,651
2019-05-31T00:00:00.000Z,CIR0141603173,651
2019-05-31T00:00:00.000Z,ZIV0045681884,651
2019-05-31T00:00:00.000Z,CIR0141691600,650
2019-05-30T22:00:00.000Z,CIR0141601713,651
2019-05-30T22:00:00.000Z,CIR0141600219,651
2019-05-29T22:00:00.000Z,ZIV0046095496,652
2019-06-24T22:00:00.000Z,CIR0141440199,626
2019-05-29T22:00:00.000Z,CIR0141691768,652
2019-05-31T00:00:00.000Z,CIR0141600371,649
2019-06-10T22:00:00.000Z,CIR0501631445,639
2019-05-31T00:00:00.000Z,CIR0141690262,651
2019-05-31T00:00:00.000Z,CIR0141448344,651
2019-05-29T22:00:00.000Z,CIR0141602511,652
2019-05-31T00:00:00.000Z,CIR0141601703,651
2019-05-31T00:00:00.000Z,CIR0141691610,651
2019-05-31T00:00:00.000Z,ZIV0046095486,651
2019-05-29T22:00:00.000Z,CIR0141440189,652
2019-05-31T00:00:00.000Z,CIR0141600209,651
2019-05-31T00:00:00.000Z,CIR0141602469,651
2019-05-29T22:00:00.000Z,ZIV0046094815,652
2019-05-31T00:00:00.000Z,CIR0141603163,651
2019-05-31T00:00:00.000Z,CIR0141690114,650
2019-05-29T22:00:00.000Z,ZIV0046095688,652
2019-05-31T00:00:00.000Z,CIR0501624314,650
2019-05-30T22:00:00.000Z,ZIV0046090937,651
2019-05-29T22:00:00.000Z,CIR0141601475,652
2019-05-31T00:00:00.000Z,CIR0141603215,649
2019-05-31T00:00:00.000Z,CIR0141443195,651
2019-05-31T00:00:00.000Z,CIR0501624304,651
2019-05-31T00:00:00.000Z,ZIV0046090927,651
2019-05-31T00:00:00.000Z,CIR0141600017,651
2019-05-30T22:00:00.000Z,ZIV0046095698,651
2019-05-31T00:00:00.000Z,CIR0141690104,651
2019-05-31T00:00:00.000Z,ZIV0046094392,651
2019-05-31T00:00:00.000Z,CIR0141443185,651
2019-05-31T00:00:00.000Z,CIR0141603205,649
2019-09-03T22:00:00.000Z,CIR0141673286,555
2019-05-30T22:00:00.000Z,CIR0141601465,651
2019-05-31T00:00:00.000Z,CIR0141691576,651
2019-05-31T00:00:00.000Z,CIR0141600652,651
2019-09-04T00:00:00.000Z,CIR0141690741,555
2019-05-29T22:00:00.000Z,CIR0141601358,651
2019-05-31T00:00:00.000Z,CIR0141685366,651
2019-05-31T00:00:00.000Z,ZIV0046095944,651
2019-05-31T00:00:00.000Z,CIR0141692121,647
2019-06-11T03:00:00.000Z,CIR0141448667,639
2019-05-31T00:00:00.000Z,CIR0141602032,651
2019-05-30T22:00:00.000Z,CIR0141464384,651
2019-05-31T00:00:00.000Z,CIR0141690639,647
2019-05-29T22:00:00.000Z,CIR0141604406,651
2019-05-30T22:00:00.000Z,CIR0141682258,649
2019-05-31T00:00:00.000Z,ZIV0046091289,651
2019-05-29T22:00:00.000Z,ZIV0046090783,652
2019-05-31T00:00:00.000Z,CIR0141601220,651
2020-07-09T22:00:00.000Z,CIR0141691333,244
2019-05-29T22:00:00.000Z,CIR0141449215,652
2019-05-31T00:00:00.000Z,CIR0141431123,651
2019-05-31T00:00:00.000Z,CIR0141692059,647
2020-04-19T22:00:00.000Z,CIR0141605895,326
2019-05-30T22:00:00.000Z,ZIV0046095954,651
2019-05-29T22:00:00.000Z,CIR0141685376,652
2019-05-31T00:00:00.000Z,CIR0141602022,651
2019-05-31T00:00:00.000Z,CIR0141464394,651
2019-05-31T00:00:00.000Z,CIR0141692131,647
2019-06-11T03:00:00.000Z,CIR0141448677,639
2019-05-31T00:00:00.000Z,CIR0141690751,651
2019-05-31T00:00:00.000Z,CIR0141600642,651
2019-05-29T22:00:00.000Z,CIR0141601348,652
2019-05-31T00:00:00.000Z,CIR0141431133,651
2019-05-29T22:00:00.000Z,CIR0141449205,652
2019-05-31T00:00:00.000Z,CIR0141606276,651
2019-05-31T00:00:00.000Z,CIR0141692049,651
2019-05-31T00:00:00.000Z,CIR0141605885,651
2019-05-29T22:00:00.000Z,ZIV0046091299,652
2019-05-31T00:00:00.000Z,CIR0141682248,649
2019-05-31T00:00:00.000Z,CIR0141604416,651
2019-07-31T00:00:00.000Z,CIR0141690629,590
2019-05-31T00:00:00.000Z,CIR0141601230,651
2019-05-29T22:00:00.000Z,ZIV0046090793,652
2019-05-31T00:00:00.000Z,CIR0141685304,651
2019-05-31T00:00:00.000Z,ZIV0046095926,651
2019-06-18T22:00:00.000Z,CIR0141431039,632
2019-05-31T00:00:00.000Z,CIR0141692143,647
2019-06-09T22:00:00.000Z,CIR0141448605,641
2019-05-29T22:00:00.000Z,CIR0141602050,652
2019-05-31T00:00:00.000Z,CIR0141600630,651
2019-05-31T00:00:00.000Z,ZIV0046091393,651
2019-05-30T22:00:00.000Z,ZIV0046092960,651
2019-09-04T00:00:00.000Z,CIR0141690723,555
2019-05-31T00:00:00.000Z,CIR0141691229,651
