,R4
498.0,9
470.0,9
501.0,8
494.0,8
466.0,8
496.0,8
509.0,7
495.0,7
506.0,6
500.0,6
89274.0,6
552.0,5
503.0,5
511.0,5
517.0,4
512.0,4
650.0,4
631.0,4
522.0,4
516.0,3
542.0,3
669.0,3
645.0,3
700.0,3
520.0,3
655.0,3
578.0,3
502.0,3
505.0,3
515.0,3
534.0,3
533.0,3
521.0,3
569.0,3
565.0,3
543.0,3
659.0,3
544.0,3
537.0,3
572.0,2
634.0,2
1050.0,2
555.0,2
526.0,2
4530.0,2
556.0,2
602.0,2
686.0,2
616.0,2
604.0,2
519.0,2
718.0,2
652.0,2
971.0,2
547.0,2
726.0,2
528.0,2
636.0,2
583.0,2
773.0,2
666.0,2
596.0,2
523.0,2
640.0,2
1062.0,2
558.0,2
854.0,2
567.0,2
525.0,2
673.0,2
800.0,2
644.0,2
817.0,2
628.0,2
647.0,2
635.0,2
497.0,2
2901.0,2
613.0,2
560.0,2
609.0,2
527.0,2
622.0,2
562.0,2
5655022.0,1
563.0,1
685.0,1
5507.0,1
3373.0,1
1379.0,1
696.0,1
670.0,1
2248.0,1
75537.0,1
885.0,1
3267.0,1
3810.0,1
4416.0,1
702.0,1
1391.0,1
698.0,1
1128.0,1
5513.0,1
4440161.0,1
8582.0,1
703.0,1
2422226.0,1
586.0,1
5475.0,1
745.0,1
715.0,1
531.0,1
656.0,1
4106.0,1
541.0,1
584.0,1
540.0,1
816.0,1
576.0,1
1064.0,1
944.0,1
1028.0,1
4380.0,1
1683.0,1
545.0,1
675.0,1
982.0,1
692.0,1
593.0,1
741.0,1
890.0,1
891.0,1
538.0,1
775.0,1
8695.0,1
7526.0,1
993.0,1
1098.0,1
600.0,1
2130.0,1
707.0,1
962.0,1
1610705.0,1
1006.0,1
676.0,1
633.0,1
2773.0,1
1111.0,1
4811.0,1
518.0,1
119851.0,1
8623815.0,1
805.0,1
720.0,1
4277.0,1
85939.0,1
134777.0,1
7559527.0,1
1505.0,1
9198.0,1
803.0,1
2535.0,1
6133.0,1
929.0,1
2824.0,1
1321.0,1
701.0,1
603.0,1
1094.0,1
1168.0,1
660.0,1
665.0,1
623.0,1
3827.0,1
1186.0,1
1272.0,1
3230.0,1
74895.0,1
514.0,1
627.0,1
765.0,1
752.0,1
8304.0,1
898.0,1
611.0,1
969.0,1
1000.0,1
1335389.0,1
768.0,1
62739.0,1
7774.0,1
2568.0,1
896.0,1
2849.0,1
822.0,1
536.0,1
742.0,1
661.0,1
529.0,1
691.0,1
510.0,1
708.0,1
6108.0,1
614.0,1
6656.0,1
5139.0,1
921.0,1
1072.0,1
772.0,1
677.0,1
3466.0,1
683.0,1
601.0,1
539.0,1
954.0,1
1169.0,1
592.0,1
937.0,1
1180.0,1
750.0,1
62728.0,1
606.0,1
610.0,1
5376.0,1
548.0,1
618.0,1
2010.0,1
557.0,1
1055.0,1
681.0,1
1102.0,1
964.0,1
1832.0,1
1054.0,1
2132.0,1
4295208.0,1
594.0,1
4419.0,1
1914.0,1
1223.0,1
1049108.0,1
619.0,1
836.0,1
693.0,1
641.0,1
86244.0,1
767.0,1
85737.0,1
632.0,1
664.0,1
620.0,1
672.0,1
690.0,1
4858566.0,1
826.0,1
1467.0,1
892.0,1
605.0,1
774.0,1
704.0,1
589.0,1
1554.0,1
561.0,1
903.0,1
688.0,1
551.0,1
1384.0,1
680.0,1
4629.0,1
1161.0,1
566.0,1
4041.0,1
3905.0,1
337749.0,1
568.0,1
1150.0,1
1449.0,1
85918.0,1
637.0,1
598.0,1
970.0,1
1256.0,1
78264.0,1
1063.0,1
967.0,1
801.0,1
864.0,1
5525.0,1
2266.0,1
16655.0,1
1842.0,1
513.0,1
0.168,1
4507.0,1
595.0,1
597.0,1
573.0,1
723.0,1
1447.0,1
585.0,1
648.0,1
981.0,1
668.0,1
