,R1
896.0,21
681.0,21
2594.0,20
732.0,20
614.0,20
713.0,20
790.0,20
628.0,20
2495.0,20
903.0,20
824.0,20
625.0,20
971.0,20
1006.0,20
653.0,20
559.0,20
998.0,20
781.0,20
766.0,20
880.0,20
962.0,20
758.0,20
760.0,20
613.0,20
2624.0,20
935.0,20
617.0,20
1021.0,20
674.0,20
2079.0,20
2530.0,20
2440.0,20
685.0,20
777.0,20
831.0,20
835.0,20
526.0,20
597.0,20
554.0,20
513.0,20
595.0,20
941.0,20
2562.0,20
815.0,20
672.0,20
940.0,20
929.0,19
2810.0,19
545.0,19
767.0,19
523.0,19
712.0,19
884.0,19
976.0,19
2514.0,19
820.0,19
2629.0,19
2385.0,19
830.0,19
637.0,19
841.0,19
584.0,19
699.0,19
2403.0,19
752.0,19
641.0,19
553.0,19
2407.0,19
647.0,19
607.0,19
2211.0,19
975.0,19
919.0,19
2354.0,19
789.0,19
890.0,19
650.0,19
740.0,19
2234.0,19
2756.0,19
895.0,19
909.0,19
912.0,19
860.0,19
2606.0,19
570.0,19
746.0,19
2782.0,19
541.0,19
564.0,19
992.0,19
910.0,19
796.0,18
720.0,18
2333.0,18
855.0,18
846.0,18
701.0,18
1003.0,18
917.0,18
805.0,18
636.0,18
2473.0,18
2356.0,18
721.0,18
684.0,18
2429.0,18
729.0,18
2083.0,18
697.0,18
604.0,18
588.0,18
799.0,18
2263.0,18
2057.0,18
968.0,18
800.0,18
2484.0,18
691.0,18
2847.0,18
736.0,18
1061.0,18
928.0,18
964.0,18
2876.0,18
859.0,18
664.0,18
2630.0,18
616.0,18
2497.0,18
2485.0,18
683.0,18
985.0,18
709.0,18
773.0,18
620.0,18
2428.0,18
795.0,18
2927.0,18
2597.0,18
807.0,18
2283.0,18
694.0,18
714.0,18
2238.0,18
2863.0,18
2351.0,18
857.0,18
556.0,18
819.0,18
1018.0,18
759.0,18
704.0,18
659.0,18
961.0,18
786.0,18
822.0,18
745.0,18
1073.0,18
2536.0,18
2431.0,18
679.0,18
888.0,18
878.0,18
717.0,18
999.0,17
2998.0,17
601.0,17
676.0,17
667.0,17
2406.0,17
1101.0,17
2521.0,17
840.0,17
768.0,17
2879.0,17
1002.0,17
818.0,17
2806.0,17
2825.0,17
952.0,17
809.0,17
2377.0,17
728.0,17
2583.0,17
2646.0,17
922.0,17
1252.0,17
711.0,17
708.0,17
2487.0,17
2680.0,17
982.0,17
974.0,17
2702.0,17
986.0,17
2768.0,17
775.0,17
3144.0,17
651.0,17
991.0,17
2255.0,17
970.0,17
665.0,17
995.0,17
2460.0,17
2746.0,17
2867.0,17
2818.0,17
2465.0,17
2239.0,17
2510.0,17
2436.0,17
778.0,17
1141.0,17
2726.0,17
2386.0,17
1033.0,17
3079.0,17
656.0,17
2467.0,17
748.0,17
623.0,17
549.0,17
2438.0,17
2671.0,17
634.0,17
1023.0,17
1050.0,17
686.0,17
2797.0,17
645.0,17
1093.0,17
2740.0,17
867.0,17
