status_code,t,status,l
2,2019-02-08T02:46:55.000Z,Registered,2019-02-08T20:47:39.059Z
1,2019-02-08T02:46:55.000Z,TF,2019-02-09T00:52:01.376Z
1,2019-02-08T02:46:55.000Z,TF,2019-02-08T09:45:40.140Z
2,2019-02-08T23:02:56.000Z,Registered,2019-02-09T04:52:32.927Z
1,2019-02-09T04:56:31.000Z,TF,2019-02-09T04:56:31.000Z
1,2019-02-09T05:27:22.000Z,TF,2019-02-09T10:46:05.459Z
2,2019-02-09T05:27:22.000Z,Registered,2019-02-09T13:45:46.435Z
1,2019-02-09T05:27:22.000Z,TF,2019-02-09T22:45:58.022Z
2,2019-02-09T05:27:22.000Z,Registered,2019-02-09T08:46:20.280Z
2,2019-02-09T22:00:54.000Z,Registered,2019-02-10T11:45:53.749Z
1,2019-02-10T00:55:27.000Z,TF,2019-02-10T00:55:27.000Z
2,2019-02-10T00:55:27.000Z,Registered,2019-02-10T18:46:13.535Z
1,2019-02-10T17:02:05.000Z,TF,2019-02-11T00:49:15.689Z
2,2019-02-10T17:02:05.000Z,Registered,2019-02-11T08:45:57.449Z
1,2019-02-11T02:40:13.000Z,TF,2019-02-12T00:49:40.020Z
2,2019-02-12T00:41:23.000Z,Registered,2019-02-12T08:46:00.797Z
1,2019-02-12T03:19:39.000Z,TF,2019-02-12T15:48:57.316Z
2,2019-02-12T03:19:39.000Z,Registered,2019-02-12T19:48:35.025Z
1,2019-02-12T03:19:39.000Z,TF,2019-02-13T02:57:33.112Z
1,2019-02-12T03:19:39.000Z,TF,2019-02-12T11:47:30.381Z
2,2019-02-12T03:19:39.000Z,Registered,2019-02-12T13:47:40.357Z
2,2019-02-13T02:59:27.000Z,Registered,2019-02-13T07:47:37.173Z
2,2019-02-13T03:37:13.000Z,Registered,2019-02-13T13:46:37.535Z
1,2019-02-13T03:37:13.000Z,TF,2019-02-13T18:48:27.729Z
2,2019-02-13T03:37:13.000Z,Registered,2019-02-13T03:37:13.000Z
1,2019-02-13T03:37:13.000Z,TF,2019-02-14T00:54:39.645Z
2,2019-02-13T03:37:13.000Z,Registered,2019-02-14T06:46:57.043Z
1,2019-02-13T03:37:13.000Z,TF,2019-02-13T10:46:48.698Z
1,2019-02-14T01:59:42.000Z,TF,2019-02-14T09:47:55.660Z
2,2019-02-14T01:59:42.000Z,Registered,2019-02-14T13:47:40.329Z
1,2019-02-14T01:59:42.000Z,TF,2019-02-14T18:57:18.375Z
2,2019-02-14T01:59:42.000Z,Registered,2019-02-14T01:59:42.000Z
1,2019-02-14T01:59:42.000Z,TF,2019-02-15T00:49:33.553Z
2,2019-02-15T00:34:22.000Z,Registered,2019-02-15T06:48:29.514Z
2,2019-02-15T02:47:39.000Z,Registered,2019-02-15T02:47:39.000Z
2,2019-02-15T02:47:39.000Z,Registered,2019-02-15T13:48:43.528Z
1,2019-02-15T02:47:39.000Z,TF,2019-02-16T01:49:44.332Z
1,2019-02-15T02:47:39.000Z,TF,2019-02-15T02:47:39.000Z
2,2019-02-16T01:41:38.000Z,Registered,2019-02-16T07:48:41.133Z
1,2019-02-16T02:02:25.000Z,TF,2019-02-16T02:02:25.000Z
2,2019-02-16T02:02:25.000Z,Registered,2019-02-16T12:48:41.811Z
1,2019-02-16T02:02:25.000Z,TF,2019-02-17T01:49:53.577Z
2,2019-02-17T01:17:38.000Z,Registered,2019-02-17T03:50:53.620Z
